slug,name,issuer,annual_fee,cashback,revolving_rate,cash_advance_fee,source_url,last_verified,page_url
taishin-infinite,台新銀行 無限卡,台新國際商業銀行,"NT$20,000+",最高回饋依方案。機場貴賓室無限。頂級餐廳禮遇,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-infinite/
taishin-rose-legacy,台新銀行 玫瑰卡（已停發併入Richart）,台新國際商業銀行,參考Richart卡,已停止新申辦。原女性專屬卡，權益併入Richart卡,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-rose-legacy/
taishin-platinum,台新銀行 白金卡,台新國際商業銀行,"NT$1,800，年消費6萬即免",國內0.5%。海外1%。白金卡基本回饋,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-platinum/
taishin-jkopay,台新銀行 街口聯名卡,台新國際商業銀行,"約NT$3,000，申請電子帳單即免年費",國內1%街口幣無上限。精選通路最高3.5%。日本PayPay消費7.5%。線上購物（LINE Pay/Apple Pay）3%。新戶全年加碼+10%最高合計13.5%,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-09-04,https://cards.ampm-aiops.com/items/taishin-jkopay/
taishin-jkopay-titanium,台新銀行 街口聯名卡 鈦金版,台新國際商業銀行,"NT$2,400，年消費10萬即免",街口支付最高8%。一般消費1.5%。指定通路加碼,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-jkopay-titanium/
taishin-young,台新銀行 青春 Young 卡,台新國際商業銀行,免年費,數位消費 2%、一般 0.5%,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-young/
taishin-skyteam,台新銀行天合聯盟飛卡,台新國際商業銀行,"$2,500，刷滿 36 萬免",海外消費 $25=1 哩、國內 $40=1 哩（華航/天合聯盟）,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-skyteam/
taishin-pet-platinum,台新銀行寵物白金卡,台新國際商業銀行,首年免，次年刷 6 次免,寵物通路 3%、動物醫院 2%、一般 0.5%,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-pet-platinum/
taishin-breeze,台新銀行微風聯名卡,台新國際商業銀行,$800，微風消費滿 3 萬免,微風消費 5%、微風超市 3%、一般 0.5%,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-breeze/
cathay-cube,國泰世華 CUBE卡,國泰世華銀行,申辦電子帳單免年費,指定通路 3% 小樹點無上限,6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/cube,2026-09-04,https://cards.ampm-aiops.com/items/cathay-cube/
cathay-koko-legacy,國泰世華 KOKO卡（已併入CUBE）,國泰世華銀行,參考CUBE卡,已停止新申辦。原有權益併入CUBE卡體系,6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/koko-icash,2026-09-04,https://cards.ampm-aiops.com/items/cathay-koko-legacy/
cathay-world,國泰世華 世界卡,國泰世華銀行,"正卡NT$20,000、附卡免年費。首年免年費需「首次申辦且近三個月平均往來資產達NT$300萬並在當月專案名單內」；次年免年費需正附卡併計年消費NT$80萬（2026/7/1起NT$60萬），年消費NT$40萬（2026/7/1起NT$30萬）只有年費5折","主權益海外消費0.9%小樹點；2026/7/1~12/31 海外累計達NT$30萬加碼2.6%、最高3.5%（每戶加碼上限7,800點）。刷保費最高1.8%。機場貴賓室須消費達檻、每戶免費上限8次",6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/world,2026-08-30,https://cards.ampm-aiops.com/items/cathay-world/
cathay-cashback-signature,國泰世華 現金回饋御璽卡,國泰世華銀行,首年免，次年消費3次即免,國內1%無上限。國外1.5%。保費0.3%,6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/cube,2026-08-27,https://cards.ampm-aiops.com/items/cathay-cashback-signature/
cathay-shopee,國泰世華 蝦皮購物聯名卡,國泰世華銀行,"首年免，次年NT$1,800（年消費3萬或6次即免）",蝦皮消費1~2%蝦幣回饋（滿3000升2%），活動期間最高26%。非蝦皮0.5%蝦幣。指定通路最高7%,6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/cube,2026-08-27,https://cards.ampm-aiops.com/items/cathay-shopee/
cathay-evaair,國泰世華 長榮航空聯名卡,國泰世華銀行,"極致無限卡NT$20,000/無限卡NT$2,400/極致御璽NT$800/御璽NT$300（首年免），均無年費減免","EVA官網機票/海外消費最佳10元=1哩（啟動倍數引擎）。一般國內消費20~30元=1哩。新戶最高50,000哩程迎新。生日月搭長榮哩程加倍",6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/cube,2026-08-27,https://cards.ampm-aiops.com/items/cathay-evaair/
cathay-dual-currency,國泰世華 雙幣卡,國泰世華銀行,"鈦金商務卡／白金卡皆NT$1,800，首年免年費，附卡免年費；次年起鈦金商務卡需正附卡併計消費滿NT$18萬、白金卡需每卡消費滿2次",海外消費最高1.5%回饋；國內消費與海外單筆US$20以下0.3%小樹點,6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/dual-currency,2026-08-30,https://cards.ampm-aiops.com/items/cathay-dual-currency/
cathay-asiamiles,國泰世華亞洲萬里通聯名卡,國泰世華銀行,"$2,000，刷滿 25 萬免",海外 $20=1 哩、國內 $30=1 哩（亞洲萬里通）,6.75%~15%（依本行信用評分制度定期評估，循環利率基準日 104 年 9 月 1 日）,預借現金金額 ×3% ＋ 新臺幣 150 元或美元 5 元,https://www.cathay-cube.com.tw/cathaybk/personal/product/credit-card/cards/cube,2026-08-27,https://cards.ampm-aiops.com/items/cathay-asiamiles/
sinopac-dawho,永豐 大戶DAWHO卡,永豐銀行,電子帳單免年費,國內 2% / 國外 3% / 七大通路 7%,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-dawho/
sinopac-dawho-cashback,永豐銀行 DAWHO現金回饋卡,永豐銀行,免年費,國內2%（綁DAWHO帳戶自扣+數位通路）。國外3%。一般國內1%。新戶首2月最高8%,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-dawho-cashback/
sinopac-sport,永豐銀行 SPORT卡,永豐銀行,"NT$3,000，首年免。電子帳單+取消實體帳單即終身免年費，或年消費36,000/12次",國內基本1%豐點無上限。行動支付/運動健身/醫藥保健通路最高5%。新戶指定行動支付最高25%（核卡45日內上限NT$500刷卡金）,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-sport/
sinopac-sport-signature,永豐銀行 Sport卡 御璽版,永豐銀行,"NT$3,000，年消費12萬即免",運動通路最高8%。行動支付3%。國外3%。一般國內1%,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-sport-signature/
sinopac-insurance,永豐銀行 保倍卡,永豐銀行,免年費,保費消費最高2%回饋（同業最高之一）。國內1%。國外2%,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-insurance/
sinopac-dual-currency,永豐銀行 幣倍卡,永豐銀行,,,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-dual-currency/
sinopac-beibi,永豐銀行 幣倍卡,永豐銀行,,,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-beibi/
sinopac-jcb-cashback,永豐銀行 現金回饋JCB卡,永豐銀行,免年費,日本JCB通路3%。國內1%。亞洲地區1.5%,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-jcb-cashback/
sinopac-dawho-debit,永豐銀行大戶簽帳金融卡,永豐銀行,免年費（簽帳金融卡）,國內 2% 現金回饋（大戶等級）、海外 3%,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-09-04,https://cards.ampm-aiops.com/items/sinopac-dawho-debit/
sinopac-sport-world,永豐銀行運動世界卡,永豐銀行,首年免，次年刷 6 次免,運動消費 3%（健身房/運動品牌）、一般 0.5%,5%~15%（循環利率基準日 2023/3/3）,預借現金金額 ×3.5% ＋ 指定金額（新臺幣 100 元／美元 3.5 元／日圓 350 元／歐元 3 元）,https://bank.sinopac.com/sinopacBT/personal/credit-card/introduction/bankcard/DAWHO.html,2026-08-27,https://cards.ampm-aiops.com/items/sinopac-sport-world/
esun-unicard,玉山 Unicard,玉山銀行,綁定玉山錢包免年費,百大特店最高 5% e point,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/unicard/index.html,2026-09-04,https://cards.ampm-aiops.com/items/esun-unicard/
esun-debit,玉山銀行 Debit金融卡,玉山銀行,免年費（金融卡）,國內0.3%。國外0.8%。部分活動加碼。iLEO帳戶搭配更優,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-debit/
esun-ikea,玉山銀行 IKEA 聯名卡,玉山銀行,首年免，次年刷滿 6 萬免,IKEA 消費 5% 回饋、居家通路 3%、一般 0.5%,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-ikea/
esun-only,玉山銀行 Only卡,玉山銀行,"NT$3,000，首年免年費。次年：自扣+電子帳單/年消費滿NT$15萬/12次即免",會員最高3.2%回饋（含基本+會員等級加碼）。美日韓泰實體消費最高5%。回饋為Only點可折帳單或兌換哩程。海外實體2.8%,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-only/
esun-only-signature,玉山銀行 Only卡（御璽版）,玉山銀行,"NT$3,000，年消費15萬即免",海外最高5%（指定地區）。國內1%。哩程累積可兌換機票,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-only-signature/
esun-pi,玉山銀行 Pi拍錢包信用卡,玉山銀行,"NT$3,000，首年免。次年有任何消費即免（等同終身免年費）",國內1% P幣無上限。Pi拍指定通路最高5%。PChome 24h 4%。海外最高3%。保費1.2%無上限。全家便利商店活動期5%,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-pi/
esun-pi-signature,玉山銀行 Pi錢包信用卡 御璽版,玉山銀行,"NT$3,000，年消費12萬即免",Pi錢包消費最高5%P幣。國內1.5%。國外2.5%,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-pi-signature/
esun-share,玉山銀行 Share卡,玉山銀行,首年免，次年消費3次即免,指定通路最高5%（外送/串流/訂閱）。國內1%。國外2.5%。新戶首3月加碼,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-share/
esun-ubear-student,玉山銀行 U Bear 學生卡,玉山銀行,免年費,網購 3%、超商 3%、一般 0.5%,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-ubear-student/
esun-ubear,玉山銀行 U Bear信用卡,玉山銀行,"NT$1,500，首年免。次年消費3次即免",指定網購通路最高5%回饋（momo/蝦皮/PChome等）。一般消費1%。海外消費2.5%。行動支付加碼,5.88%～15%（依玉山銀行電腦評等而訂，官方頁面標示基準日 2015-09-01）,預借現金金額×3.5%＋(新臺幣150元／5美元／550日圓／4歐元),https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-ubear/
esun-world,玉山銀行 世界卡,玉山銀行,"NT$8,000，年消費30萬即免",全球消費2%無上限。機場貴賓室4次/年。哩程累積加速,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-09-04,https://cards.ampm-aiops.com/items/esun-world/
esun-carrefour,玉山銀行 家樂福聯名卡,玉山銀行,"一般卡免年費（有消費即可），鈦金卡NT$3,000（年消費即免）",家樂福店內消費最高8%（需滿NT$499+綁錢包，日上限NT$40折價券）。每NT$1送2點家樂福點數,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-carrefour/
esun-signature,玉山銀行 御璽卡,玉山銀行,"NT$3,000，年消費12萬即免",依方案最高5%。機場貴賓室2次/年。哩程累積加速,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-09-04,https://cards.ampm-aiops.com/items/esun-signature/
esun-starbucks,玉山銀行 星巴克聯名卡,玉山銀行,"NT$1,500，年消費6萬即免",星巴克消費最高8%回饋（含星禮程金星會員加碼）。一般消費1%,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-starbucks/
esun-infinite,玉山銀行 無限卡,玉山銀行,"NT$20,000+",最高5%回饋。機場貴賓室無限次。哩程累積加速,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-09-04,https://cards.ampm-aiops.com/items/esun-infinite/
esun-kumamon,玉山銀行 熊本熊聯名卡,玉山銀行,首年免，次年消費3次即免,日本消費最高5%。國內1%。海外2.5%。新戶首3月加碼,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-kumamon/
esun-evaair,玉山銀行 長榮航空聯名卡,玉山銀行,"NT$3,000，年消費12萬即免",長榮消費每NT$5=1哩（頂級）。海外每NT$20=1哩。國內每NT$25=1哩,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-evaair/
esun-cpc,玉山銀行中油聯名卡,玉山銀行,首年免，次年刷滿 5 萬免,中油加油 2.5% 回饋、一般 0.5%,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-08-27,https://cards.ampm-aiops.com/items/esun-cpc/
esun-platinum,玉山銀行白金卡,玉山銀行,首年免，次年刷滿 8 萬免,一般消費 0.5% 紅利點數,5.88%~15%（依本行電腦評等而訂，循環利率基準日 2015/9/1）,預借現金金額 ×3.5% ＋（新臺幣 150 元／美元 5 元／日圓 550 元／歐元 4 元），依預借現金約定結付幣別區分,https://event.esunbank.com.tw/credit/ubear/card.html,2026-09-04,https://cards.ampm-aiops.com/items/esun-platinum/
